"Geography","Population","district"
"39001770100",4864,13
"39001770200",4815,13
"39001770300",6964,13
"39001770400",4948,13
"39001770500",3442,13
"39001770600",3517,13
"39003010100",4405,1
"39003010200",4110,1
"39003010300",1676,1
"39003010600",5138,1
"39003010800",7994,1
"39003010900",4515,1
"39003011000",5445,1
"39003011200",4218,1
"39003011300",7559,1
"39003011400",3056,1
"39003011500",2783,1
"39003011600",2693,1
"39003011800",2346,1
"39003011900",3208,1
"39003012000",2410,1
"39003012100",3455,1
"39003012200",3291,1
"39003012300",4052,1
"39003012400",2710,1
"39003012600",1834,1
"39003012700",1648,1
"39003012900",1741,1
"39003013000",3993,1
"39003013100",2313,1
"39003013200",1774,1
"39003013300",1290,1
"39003013400",2549,1
"39003013600",1375,1
"39003013700",1156,1
"39003013800",2728,1
"39003013900",3406,1
"39003014000",3309,1
"39003014100",2151,1
"39005970100",8353,3
"39005970200",5845,3
"39005970300",3895,3
"39005970400",3837,3
"39005970500",3083,3
"39005970600",5371,3
"39005970700",5288,3
"39005970800",4071,3
"39005970900",4943,3
"39005971000",4779,3
"39005971100",3674,3
"39007000101",4554,5
"39007000102",3483,5
"39007000103",3721,5
"39007000200",4688,5
"39007000300",2214,5
"39007000400",1794,5
"39007000500",4265,5
"39007000601",2746,5
"39007000602",3428,5
"39007000603",4101,5
"39007000701",3292,5
"39007000702",2971,5
"39007000703",3873,5
"39007000704",4041,5
"39007000801",1736,5
"39007000802",5187,5
"39007000900",4780,5
"39007001001",5564,5
"39007001002",3465,5
"39007001101",1973,5
"39007001102",6060,5
"39007001200",7482,5
"39007001301",3927,5
"39007001302",3896,5
"39007001400",8256,5
"39007990000",0,5
"39009972600",4483,12
"39009972700",3981,12
"39009972800",4500,12
"39009972900",5391,12
"39009973000",3614,12
"39009973101",4527,12
"39009973200",4830,12
"39009973300",3721,12
"39009973400",3347,12
"39009973500",3428,12
"39009973600",3972,12
"39009973700",4140,12
"39009973800",4867,12
"39009973901",6462,12
"39009973902",3494,12
"39011040100",4025,1
"39011040200",4142,1
"39011040300",3645,1
"39011040400",6712,1
"39011040500",5021,1
"39011040600",3851,1
"39011040900",3748,4
"39011041000",3649,4
"39011041100",3992,1
"39011041201",1893,1
"39011041202",5271,1
"39013010100",4264,11
"39013010200",3905,11
"39013010300",3425,11
"39013010600",3712,11
"39013010700",2695,11
"39013010802",2323,11
"39013010900",6798,11
"39013011000",5009,11
"39013011200",3491,11
"39013011300",4019,11
"39013011400",4499,11
"39013011500",1640,11
"39013011600",1250,11
"39013011700",1406,11
"39013011900",3071,11
"39013012000",2643,11
"39013012100",1277,11
"39013012200",6288,11
"39013012300",4104,11
"39013012400",4581,11
"39015951201",4427,13
"39015951202",5041,13
"39015951300",7777,13
"39015951400",4393,13
"39015951500",5423,13
"39015951600",3699,13
"39015951700",2673,13
"39015951800",5270,13
"39015951900",6143,13
"39017000100",4639,15
"39017000200",4226,15
"39017000300",3349,15
"39017000400",4944,15
"39017000500",4575,15
"39017000600",5017,15
"39017001001",5464,15
"39017001002",5087,15
"39017001100",4550,15
"39017001300",4256,15
"39017010101",6819,15
"39017010102",2749,15
"39017010103",5308,15
"39017010104",5265,15
"39017010201",1950,15
"39017010202",4194,15
"39017010203",5515,15
"39017010301",4449,15
"39017010302",3550,15
"39017010500",2377,15
"39017010600",3427,15
"39017010800",6568,15
"39017010901",4349,15
"39017010903",5328,15
"39017010904",3604,15
"39017010906",7155,15
"39017010907",2611,16
"39017010908",5300,16
"39017010909",4716,15
"39017010910",4780,15
"39017010911",4226,15
"39017011002",12210,15
"39017011003",6422,15
"39017011004",6001,15
"39017011109",4389,14
"39017011110",5250,14
"39017011111",6730,14
"39017011112",5537,15
"39017011116",8529,15
"39017011117",11039,14
"39017011118",3014,14
"39017011120",7393,14
"39017011121",7593,14
"39017011122",5068,15
"39017011123",5075,14
"39017011125",3623,14
"39017011126",4811,14
"39017011127",4600,14
"39017011128",3138,14
"39017011129",4246,14
"39017011130",5167,14
"39017011131",3122,14
"39017011200",7802,14
"39017011300",5044,14
"39017011800",5845,15
"39017012100",3245,15
"39017012200",3226,15
"39017012300",2028,14
"39017012400",2322,14
"39017012500",4812,14
"39017012600",2467,14
"39017012700",2983,14
"39017013000",1715,14
"39017013100",2105,14
"39017013200",3327,14
"39017013300",2134,14
"39017013400",2180,14
"39017013500",2876,14
"39017013600",5064,14
"39017013900",2832,14
"39017014000",2687,14
"39017014100",2276,14
"39017014300",4574,15
"39017014400",1882,14
"39017014600",1037,15
"39017014700",4202,15
"39017014800",6773,15
"39017014900",4941,15
"39017015000",7629,15
"39017015100",6818,15
"39019720100",3517,11
"39019720200",3626,11
"39019720300",5274,11
"39019720400",4318,11
"39019720500",5397,11
"39019720600",3451,11
"39019720700",3253,11
"39021010100",1809,13
"39021010200",7260,4
"39021010400",4150,13
"39021010500",4070,13
"39021010600",4130,13
"39021011001",2702,13
"39021011501",4473,13
"39021011504",5194,13
"39021011505",3313,13
"39021011506",2996,13
