"Geography","Population","district"
"39001770100",4864,12
"39001770200",4815,12
"39001770300",6964,12
"39001770400",4948,12
"39001770500",3442,12
"39001770600",3517,12
"39003010100",4405,13
"39003010200",4110,13
"39003010300",1676,13
"39003010600",5138,13
"39003010800",7994,13
"39003010900",4515,13
"39003011000",5445,13
"39003011200",4218,13
"39003011300",7559,13
"39003011400",3056,13
"39003011500",2783,13
"39003011600",2693,13
"39003011800",2346,13
"39003011900",3208,13
"39003012000",2410,13
"39003012100",3455,13
"39003012200",3291,13
"39003012300",4052,13
"39003012400",2710,13
"39003012600",1834,13
"39003012700",1648,13
"39003012900",1741,13
"39003013000",3993,13
"39003013100",2313,13
"39003013200",1774,13
"39003013300",1290,13
"39003013400",2549,13
"39003013600",1375,13
"39003013700",1156,13
"39003013800",2728,13
"39003013900",3406,13
"39003014000",3309,13
"39003014100",2151,13
"39005970100",8353,5
"39005970200",5845,5
"39005970300",3895,5
"39005970400",3837,5
"39005970500",3083,5
"39005970600",5371,5
"39005970700",5288,5
"39005970800",4071,5
"39005970900",4943,5
"39005971000",4779,5
"39005971100",3674,5
"39007000101",4554,7
"39007000102",3483,7
"39007000103",3721,7
"39007000200",4688,7
"39007000300",2214,7
"39007000400",1794,7
"39007000500",4265,7
"39007000601",2746,7
"39007000602",3428,7
"39007000603",4101,7
"39007000701",3292,7
"39007000702",2971,7
"39007000703",3873,7
"39007000704",4041,7
"39007000801",1736,7
"39007000802",5187,7
"39007000900",4780,7
"39007001001",5564,7
"39007001002",3465,7
"39007001101",1973,7
"39007001102",6060,7
"39007001200",7482,7
"39007001301",3927,7
"39007001302",3896,7
"39007001400",8256,3
"39007990000",0,7
"39009972600",4483,15
"39009972700",3981,15
"39009972800",4500,15
"39009972900",5391,15
"39009973000",3614,15
"39009973101",4527,15
"39009973200",4830,15
"39009973300",3721,15
"39009973400",3347,15
"39009973500",3428,15
"39009973600",3972,15
"39009973700",4140,12
"39009973800",4867,15
"39009973901",6462,15
"39009973902",3494,15
"39011040100",4025,13
"39011040200",4142,13
"39011040300",3645,13
"39011040400",6712,13
"39011040500",5021,13
"39011040600",3851,11
"39011040900",3748,11
"39011041000",3649,11
"39011041100",3992,13
"39011041201",1893,11
"39011041202",5271,13
"39013010100",4264,4
"39013010200",3905,4
"39013010300",3425,6
"39013010600",3712,6
"39013010700",2695,6
"39013010802",2323,6
"39013010900",6798,6
"39013011000",5009,6
"39013011200",3491,6
"39013011300",4019,4
"39013011400",4499,4
"39013011500",1640,4
"39013011600",1250,4
"39013011700",1406,4
"39013011900",3071,4
"39013012000",2643,4
"39013012100",1277,4
"39013012200",6288,6
"39013012300",4104,6
"39013012400",4581,4
"39015951201",4427,12
"39015951202",5041,12
"39015951300",7777,12
"39015951400",4393,12
"39015951500",5423,12
"39015951600",3699,12
"39015951700",2673,12
"39015951800",5270,12
"39015951900",6143,12
"39017000100",4639,10
"39017000200",4226,10
"39017000300",3349,10
"39017000400",4944,10
"39017000500",4575,10
"39017000600",5017,10
"39017001001",5464,10
"39017001002",5087,10
"39017001100",4550,10
"39017001300",4256,10
"39017010101",6819,10
"39017010102",2749,10
"39017010103",5308,10
"39017010104",5265,10
"39017010201",1950,10
"39017010202",4194,10
"39017010203",5515,10
"39017010301",4449,10
"39017010302",3550,10
"39017010500",2377,10
"39017010600",3427,10
"39017010800",6568,10
"39017010901",4349,10
"39017010903",5328,9
"39017010904",3604,10
"39017010906",7155,10
"39017010907",2611,9
"39017010908",5300,9
"39017010909",4716,9
"39017010910",4780,9
"39017010911",4226,10
"39017011002",12210,10
"39017011003",6422,10
"39017011004",6001,10
"39017011109",4389,10
"39017011110",5250,9
"39017011111",6730,9
"39017011112",5537,10
"39017011116",8529,10
"39017011117",11039,10
"39017011118",3014,10
"39017011120",7393,10
"39017011121",7593,10
"39017011122",5068,10
"39017011123",5075,9
"39017011125",3623,10
"39017011126",4811,10
"39017011127",4600,10
"39017011128",3138,9
"39017011129",4246,10
"39017011130",5167,9
"39017011131",3122,9
"39017011200",7802,10
"39017011300",5044,10
"39017011800",5845,10
"39017012100",3245,10
"39017012200",3226,11
"39017012300",2028,11
"39017012400",2322,11
"39017012500",4812,11
"39017012600",2467,11
"39017012700",2983,11
"39017013000",1715,10
"39017013100",2105,10
"39017013200",3327,10
"39017013300",2134,11
"39017013400",2180,11
"39017013500",2876,10
"39017013600",5064,10
"39017013900",2832,10
"39017014000",2687,10
"39017014100",2276,10
"39017014300",4574,10
"39017014400",1882,11
"39017014600",1037,10
"39017014700",4202,10
"39017014800",6773,10
"39017014900",4941,10
"39017015000",7629,10
"39017015100",6818,10
"39019720100",3517,4
"39019720200",3626,4
"39019720300",5274,6
"39019720400",4318,6
"39019720500",5397,4
"39019720600",3451,4
"39019720700",3253,6
"39021010100",1809,14
"39021010200",7260,13
"39021010400",4150,14
"39021010500",4070,14
"39021010600",4130,14
"39021011001",2702,14
"39021011501",4473,13
"39021011504",5194,14
"39021011505",3313,14
"39021011506",2996,14
"39023000200",1559,14
"39023000300",1635,14
"39023000400",2229,14
"39023000500",1880,14
"39023000600",2768,14
"39023000700",2577,14
"39023000901",2475,14
"39023000902",1244,14
"39023001000",1501,14
"39023001101",1452,14
"39023001102",2841,14
"39023001200",4245,14
"39023001300",4124,14
"39023001400",3566,14
"39023001500",4353,14
"39023001600",3885,14
"39023001700",2665,14
"39023001900",2865,14
"39023002000",2205,14
"39023002100",1749,14
"39023002200",4358,14
"39023002301",3238,14
"39023002403",3998,14
"39023002404",3112,14
"39023002501",2078,14
"39023002502",3174,14
"39023002601",3818,14
"39023002602",4067,14
"39023002605",3858,14
"39023002606",7726,14
"39023002701",3173,14
"39023002702",2681,14
"39023002800",4649,14
"39023002901",3743,14
"39023002902",4477,14
"39023003001",3145,14
"39023003002",3574,14
"39023003101",2517,14
"39023003102",1878,14
"39023003200",2798,14
"39023003301",3577,14
"39023003302",2543,14
"39023003400",3700,14
"39023003700",4633,14
"39025040101",5176,12
"39025040102",2689,12
"39025040202",2177,12
"39025040203",6195,12
"39025040204",7181,12
"39025040301",3839,10
"39025040302",3459,10
"39025040303",7207,10
"39025040401",3595,9
"39025040403",2719,10
"39025040404",3758,10
"39025040405",2582,10
"39025040500",5109,10
"39025040600",6817,10
"39025040701",6313,10
"39025040702",4019,12
"39025040800",5890,12
"39025040900",5746,12
"39025041000",7507,12
"39025041101",2782,12
"39025041102",4656,12
"39025041103",8335,12
"39025041200",8350,10
"39025041303",5028,10
"39025041304",37,10
"39025041305",4466,10
"39025041306",4286,10
"39025041307",4840,10
"39025041403",4342,10
"39025041404",4742,10
"39025041405",5472,10
"39025041406",4857,9
"39025041501",6269,12
"39025041502",8080,12
"39025041600",5192,12
"39025041701",4522,12
"39025041702",3306,12
"39025041800",3692,12
"39025041900",5665,12
"39025042000",6466,12
"39027964300",3712,14
"39027964400",5087,12
"39027964500",6300,12
"39027964600",2976,12
"39027964700",5569,12
"39027964800",4942,12
"39027964900",4984,12
"39027965000",4156,12
"39027965100",4314,12
"39029950100",5712,4
"39029950200",4741,3
"39029950300",5100,3
"39029950400",4443,4
"39029950500",6097,3
"39029950600",4951,3
"39029950700",5488,3
"39029950800",4531,4
"39029950900",3999,4
"39029951000",5894,4
"39029951100",4845,4
"39029951200",4567,4
"39029951300",3991,4
"39029951400",7652,4
"39029951500",4654,4
"39029951600",5562,4
"39029951700",5108,4
"39029951800",3279,4
"39029951900",3665,4
"39029952000",2827,4
"39029952100",1521,4
"39029952200",2085,4
"39029952300",3039,4
"39029952400",4090,4
"39031960900",4652,6
"39031961000",4690,6
"39031961100",4373,6
"39031961200",3218,6
"39031961300",3944,6
"39031961400",3348,6
"39031961500",2499,6
"39031961600",2324,6
"39031961700",2863,6
"39031961800",4990,6
"39033974100",3666,5
"39033974200",4345,5
"39033974300",2765,5
"39033974400",3458,5
"39033974500",4102,5
"39033974600",2789,5
"39033974700",4026,5
"39033974800",2221,5
"39033974900",3397,5
"39033975000",3748,5
"39033975100",3052,5
"39033975200",2691,5
"39033975300",3524,5
"39035101101",1783,2
"39035101102",4221,7
"39035101200",2562,7
"39035101300",1629,2
"39035101400",2195,2
"39035101501",2194,2
"39035101603",2471,2
"39035101700",2752,2
"39035101800",2942,2
"39035101901",1692,2
"39035102101",3152,2
"39035102102",2512,2
"39035102200",2750,2
"39035102300",2283,2
"39035102401",2114,2
"39035102402",3250,2
"39035102700",4553,2
"39035102800",2048,2
"39035102900",1961,1
"39035103100",1054,7
"39035103300",2222,7
"39035103400",2770,2
"39035103500",1981,2
"39035103602",3254,7
"39035103800",1993,2
"39035103900",2042,1
"39035104100",1095,7
"39035104200",1143,7
"39035104300",1603,7
"39035104400",1498,7
"39035104600",1190,1
"39035104800",2124,1
"39035104900",2493,1
"39035105100",3790,1
"39035105300",3434,1
"39035105400",3646,1
"39035105500",1854,1
"39035105602",2163,1
"39035105700",4165,1
"39035105900",2968,1
"39035106100",3503,1
"39035106200",3663,2
"39035106300",2764,1
"39035106400",1115,2
"39035106500",2520,2
"39035106600",3222,1
"39035106800",2942,1
"39035106900",3501,1
"39035107000",1646,1
"39035107101",4193,7
"39035107701",1944,7
"39035107802",3334,7
"39035108201",1354,7
"39035108301",1647,7
"39035108400",1237,7
"39035108701",4393,7
"39035109301",1873,7
"39035109701",2212,7
"39035109801",1884,7
"39035110501",851,1
"39035110801",1323,1
"39035110901",3102,1
"39035111202",1444,7
"39035111401",1253,7
"39035111500",1179,7
"39035111600",1130,7
"39035111700",1404,7
"39035111800",878,7
"39035111902",841,7
"39035112100",1762,7
"39035112200",1341,7
"39035112301",1427,7
"39035112400",1189,7
"39035112500",1274,7
"39035112600",1048,7
"39035112800",1015,7
"39035113101",956,7
"39035113500",1221,1
"39035113600",1107,1
"39035113801",2009,7
"39035114100",1121,1
"39035114300",1927,1
"39035114501",1369,1
"39035114600",1284,1
"39035114700",240,1
"39035114900",2199,1
"39035115100",1331,1
"39035115200",950,1
"39035115300",937,1
"39035115400",2275,1
"39035115700",1416,1
"39035115800",3226,1
"39035115900",3671,1
"39035116100",954,7
"39035116200",1146,7
"39035116300",1695,7
"39035116400",2990,7
"39035116500",2593,7
"39035116600",2629,7
"39035116700",1708,7
"39035116800",2808,7
"39035116900",1593,7
"39035117101",2416,7
"39035117102",1213,7
"39035117201",3352,7
"39035117202",1837,7
"39035117300",2580,7
"39035117400",1546,7
"39035117500",2761,7
"39035117600",3044,7
"39035117700",4899,7
"39035117800",2069,7
"39035117900",2541,7
"39035118101",2086,7
"39035118200",2101,7
"39035118301",2486,7
"39035118400",1772,7
"39035118500",994,7
"39035118602",2024,7
"39035118700",3679,7
"39035118800",3081,7
"39035118900",1385,7
"39035119100",127,7
"39035119202",1019,7
"39035119300",3572,1
"39035119401",2133,1
"39035119402",1776,1
"39035119501",2536,1
"39035119502",1772,1
"39035119600",2721,1
"39035119701",2026,1
"39035119702",2227,1
"39035119800",3407,1
"39035119900",2267,1
"39035120200",2296,1
"39035120400",2444,1
"39035120500",2382,1
"39035120600",2892,1
"39035120701",1649,1
"39035120702",2031,1
"39035120801",2292,1
"39035120802",2200,1
"39035121100",2285,1
"39035121200",1764,1
"39035121300",2276,1
"39035121401",1742,1
"39035121403",2833,1
"39035121500",2957,1
"39035121700",3767,1
"39035121800",1696,1
"39035121900",1408,1
"39035122100",3208,1
"39035122200",1832,1
"39035122300",1909,1
"39035123100",2473,2
"39035123200",2987,2
"39035123400",3665,2
"39035123501",3482,2
"39035123502",2443,2
"39035123601",2902,2
"39035123602",3002,2
"39035123603",3212,2
"39035123700",2452,2
"39035123800",2490,2
"39035123900",3036,2
"39035124100",4934,2
"39035124201",2598,2
"39035124202",1679,2
"39035124300",4038,2
"39035124500",3456,2
"39035124600",3970,2
"39035126100",2992,7
"39035127501",3164,1
"39035130103",4526,7
"39035130104",4184,7
"39035130105",3507,7
"39035130106",3434,2
"39035131102",3323,1
"39035131103",4328,1
"39035131104",4302,1
"39035132100",4876,1
"39035132200",2980,1
