"Geography","Population","district"
"39035123601",2902,4
"39035123602",3002,3
"39035123603",3212,4
"39035123700",2452,14
"39035123800",2490,14
"39035123900",3036,4
"39035124100",4934,4
"39035124201",2598,4
"39035124202",1679,1
"39035124300",4038,1
"39035124500",3456,14
"39035124600",3970,1
"39035126100",2992,3
"39035127501",3164,4
"39035130103",4526,3
"39035130104",4184,3
"39035130105",3507,3
"39035130106",3434,3
"39035131102",3323,4
"39035131103",4328,4
"39035131104",4302,4
"39035132100",4876,4
"39035132200",2980,4
"39035132301",3287,4
"39035132302",1931,4
"39035133103",3288,4
"39035133104",2676,4
"39035134100",1580,14
"39035134203",3062,14
"39035134204",4381,14
"39035134205",2704,14
"39035134206",2962,14
"39035134300",4404,14
"39035135103",2220,1
"39035135104",4102,1
"39035135105",5915,1
"39035135106",1419,1
"39035136101",6130,1
"39035136102",7407,1
"39035136103",5863,1
"39035137101",2485,4
"39035137102",4455,4
"39035137103",4229,1
"39035138105",1332,14
"39035138106",3363,14
"39035138107",2071,14
"39035138108",3994,14
"39035138109",4216,1
"39035138110",4236,1
"39035140100",1538,4
"39035140301",2279,4
"39035140302",2357,4
"39035140400",3017,4
"39035140500",3309,4
"39035140600",1247,4
"39035140701",2630,4
"39035140702",1796,4
"39035140800",3586,4
"39035140900",1916,4
"39035141000",1295,4
"39035141100",4406,4
"39035141200",3159,4
"39035141300",2661,4
"39035141400",2730,4
"39035141500",1700,4
"39035141601",1718,4
"39035141602",1574,4
"39035141700",1522,4
"39035150100",2522,3
"39035150300",1646,4
"39035150400",1639,3
"39035151100",1154,3
"39035151200",1609,4
"39035151300",2138,4
"39035151400",1270,4
"39035151500",1287,4
"39035151600",1401,4
"39035151700",1388,4
"39035151800",1789,4
"39035152101",2452,3
"39035152102",4791,3
"39035152201",3334,3
"39035152202",4326,3
"39035152301",2718,3
"39035152302",4238,3
"39035152303",3746,3
"39035152400",1969,3
"39035152501",3613,3
"39035152502",2570,3
"39035152603",1065,3
"39035152604",4392,3
"39035152701",2257,3
"39035152702",2480,3
"39035152703",1691,3
"39035153103",2533,14
"39035153104",3133,3
"39035153105",3841,3
"39035153106",3705,3
"39035153107",3614,3
"39035154100",2179,4
"39035154200",1521,4
"39035154300",1085,4
"39035154400",2861,4
"39035154501",3656,4
"39035154502",3120,4
"39035154601",4688,4
"39035154603",3103,4
"39035154604",4049,4
"39035154700",2587,4
"39035155101",5261,3
"39035155102",3084,3
"39035156101",1402,4
"39035156102",5731,1
"39035160100",1966,3
"39035160200",2317,3
"39035160300",2023,3
"39035160400",3397,3
"39035160500",3762,3
"39035160601",4966,3
"39035160602",2942,3
"39035160700",1626,3
"39035160800",979,3
"39035160900",3662,3
"39035161000",1816,3
"39035161100",3763,3
"39035161200",3004,3
"39035161300",2976,3
"39035161400",3505,3
"39035161500",3982,3
"39035161600",2131,3
"39035161700",2166,3
"39035161800",1148,3
"39035170101",2884,4
"39035170102",4958,4
"39035170201",2261,4
"39035170202",3898,4
"39035171102",5055,4
"39035171103",3819,4
"39035171104",4578,4
"39035171203",2625,4
"39035171204",2053,4
"39035171205",2530,4
"39035171206",2478,4
"39035172101",2625,3
"39035172102",3782,3
"39035172103",4914,3
"39035172201",3719,3
"39035172202",4115,3
"39035173103",2780,1
"39035173104",4681,14
"39035173105",2436,1
"39035173106",3540,1
"39035173107",2509,14
"39035174103",3036,14
"39035174104",2511,14
"39035174105",3025,14
"39035174106",3205,14
"39035174107",3809,14
"39035174203",2994,14
"39035174204",3767,14
"39035174205",4542,14
"39035174206",2407,14
"39035174207",3422,14
"39035175103",6705,1
"39035175104",6034,1
"39035175105",4757,1
"39035175106",3173,1
"39035175201",6562,1
"39035175202",3213,1
"39035176100",2216,14
"39035176200",5759,14
"39035177101",4203,1
"39035177103",4092,1
"39035177104",3680,1
"39035177201",3908,1
"39035177202",3362,4
"39035177302",2582,4
"39035177303",4988,4
"39035177304",3601,4
"39035177403",3132,1
"39035177404",2875,1
"39035177405",4563,1
"39035177406",4056,1
"39035177501",4226,1
"39035177503",3617,1
"39035177504",4045,1
"39035177505",4649,1
"39035177604",2095,1
"39035177605",2716,1
"39035177606",3804,1
"39035177607",3747,1
"39035177608",5552,1
"39035177609",2108,1
"39035178101",2977,1
"39035178102",4323,1
"39035178201",3545,1
"39035178204",4644,1
"39035178205",2272,1
"39035178206",2957,1
"39035179101",3105,4
"39035179102",2874,4
"39035180102",3925,3
"39035180103",3611,3
"39035180104",3010,3
"39035181100",6814,3
"39035181201",5370,3
"39035181203",3089,3
"39035181204",4940,3
"39035182103",2533,4
"39035182104",2626,4
"39035182105",3418,1
"39035182106",3227,1
"39035183100",3008,4
"39035183200",2478,4
"39035183300",4464,4
"39035183401",2162,4
"39035183402",1486,4
"39035183501",2714,4
"39035183502",3660,4
"39035183603",1606,4
"39035183604",2487,4
"39035183605",2780,4
"39035183606",1603,4
"39035184103",4065,4
"39035184104",1828,4
"39035184105",4711,4
"39035184106",2290,4
"39035184108",7433,4
"39035185101",2829,4
"39035185102",2696,4
"39035185103",2317,4
"39035185104",3901,4
"39035185201",1511,4
"39035185202",5159,4
"39035185203",3882,4
"39035186103",4365,14
"39035186104",2698,14
"39035186105",3529,14
"39035186106",4461,14
"39035186107",6148,1
"39035186201",5703,14
"39035186202",4635,14
"39035186203",3840,1
"39035186205",5138,14
"39035186206",4233,14
"39035187103",2844,4
"39035187104",3321,4
"39035187105",2176,4
"39035187106",5198,4
"39035188103",3270,4
"39035188104",1897,4
"39035188105",3237,4
"39035188106",2466,4
"39035188107",2561,4
"39035189105",4069,3
"39035189107",5059,14
"39035189108",5114,14
"39035189109",3437,14
"39035189110",4321,14
"39035189111",6812,14
"39035189112",3917,14
"39035190502",2362,14
"39035190503",1761,14
"39035190504",10439,14
"39035192300",1543,4
"39035192800",1197,3
"39035192900",2034,4
"39035193800",1027,4
"39035193900",1241,4
"39035194100",2281,4
"39035194300",3460,3
"39035194500",2270,3
"39035194800",884,4
"39035194900",3323,4
"39035195600",4787,4
"39035195700",4590,4
"39035195800",3885,4
"39035195900",4233,3
"39035196000",1681,4
"39035196100",2805,4
"39035196200",3278,3
"39035196300",3909,3
"39035196400",2726,1
"39035196500",1671,4
"39035980100",1,4
"39035980500",0,14
"39035981100",0,14
"39035990000",0,3
"39037500100",4102,15
"39037510100",4201,15
"39037520100",3417,15
"39037530100",4489,15
"39037540100",3441,15
"39037550100",3391,15
"39037555000",6486,15
"39037555101",3621,15
"39037555102",3903,15
"39037560100",7191,16
"39037570101",2922,15
"39037570102",5795,11
"39039958100",4572,15
"39039958200",4568,15
"39039958300",4381,15
"39039958400",4136,15
"39039958500",4369,15
"39039958600",3699,15
"39039958700",4538,15
"39039958800",3665,15
"39039958900",5109,15
"39041010100",5256,10
"39041010200",5480,10
"39041010420",2926,10
"39041010421",2182,10
"39041010422",5702,12
"39041010520",5215,10
"39041010530",3217,10
"39041011101",2897,10
"39041011102",4917,10
"39041011200",3276,10
"39041011411",2901,12
"39041011412",4517,12
"39041011413",6575,12
"39041011421",6785,9
"39041011423",6343,9
"39041011430",2807,12
"39041011520",3568,9
"39041011530",3612,9
"39041011540",5547,9
"39041011550",8256,9
"39041011560",8056,10
"39041011561",4513,9
"39041011604",5189,10
"39041011710",6370,9
"39041011730",6999,10
