"Geography","Population","district"
"39001770100",4864,11
"39001770200",4815,11
"39001770300",6964,11
"39001770400",4948,11
"39001770500",3442,11
"39001770600",3517,11
"39003010100",4405,15
"39003010200",4110,15
"39003010300",1676,15
"39003010600",5138,15
"39003010800",7994,15
"39003010900",4515,15
"39003011000",5445,15
"39003011200",4218,15
"39003011300",7559,15
"39003011400",3056,15
"39003011500",2783,15
"39003011600",2693,15
"39003011800",2346,15
"39003011900",3208,15
"39003012000",2410,15
"39003012100",3455,15
"39003012200",3291,15
"39003012300",4052,15
"39003012400",2710,15
"39003012600",1834,15
"39003012700",1648,15
"39003012900",1741,15
"39003013000",3993,15
"39003013100",2313,15
"39003013200",1774,15
"39003013300",1290,15
"39003013400",2549,15
"39003013600",1375,15
"39003013700",1156,15
"39003013800",2728,15
"39003013900",3406,15
"39003014000",3309,15
"39003014100",2151,15
"39005970100",8353,7
"39005970200",5845,2
"39005970300",3895,7
"39005970400",3837,7
"39005970500",3083,7
"39005970600",5371,7
"39005970700",5288,7
"39005970800",4071,7
"39005970900",4943,7
"39005971000",4779,7
"39005971100",3674,7
"39007000101",4554,3
"39007000102",3483,3
"39007000103",3721,3
"39007000200",4688,3
"39007000300",2214,3
"39007000400",1794,3
"39007000500",4265,3
"39007000601",2746,3
"39007000602",3428,3
"39007000603",4101,3
"39007000701",3292,3
"39007000702",2971,3
"39007000703",3873,3
"39007000704",4041,3
"39007000801",1736,3
"39007000802",5187,3
"39007000900",4780,3
"39007001001",5564,3
"39007001002",3465,3
"39007001101",1973,3
"39007001102",6060,3
"39007001200",7482,3
"39007001301",3927,3
"39007001302",3896,3
"39007001400",8256,3
"39007990000",0,NA
"39009972600",4483,13
"39009972700",3981,13
"39009972800",4500,13
"39009972900",5391,13
"39009973000",3614,13
"39009973101",4527,13
"39009973200",4830,13
"39009973300",3721,13
"39009973400",3347,13
"39009973500",3428,13
"39009973600",3972,13
"39009973700",4140,13
"39009973800",4867,13
"39009973901",6462,13
"39009973902",3494,13
"39011040100",4025,16
"39011040200",4142,16
"39011040300",3645,16
"39011040400",6712,16
"39011040500",5021,16
"39011040600",3851,16
"39011040900",3748,16
"39011041000",3649,16
"39011041100",3992,16
"39011041201",1893,16
"39011041202",5271,16
"39013010100",4264,6
"39013010200",3905,5
"39013010300",3425,5
"39013010600",3712,5
"39013010700",2695,5
"39013010802",2323,5
"39013010900",6798,5
"39013011000",5009,5
"39013011200",3491,5
"39013011300",4019,5
"39013011400",4499,5
"39013011500",1640,5
"39013011600",1250,5
"39013011700",1406,5
"39013011900",3071,6
"39013012000",2643,6
"39013012100",1277,6
"39013012200",6288,5
"39013012300",4104,5
"39013012400",4581,5
"39015951201",4427,11
"39015951202",5041,11
"39015951300",7777,11
"39015951400",4393,11
"39015951500",5423,11
"39015951600",3699,11
"39015951700",2673,11
"39015951800",5270,11
"39015951900",6143,11
"39017000100",4639,10
"39017000200",4226,10
"39017000300",3349,10
"39017000400",4944,10
"39017000500",4575,10
"39017000600",5017,10
"39017001001",5464,10
"39017001002",5087,10
"39017001100",4550,10
"39017001300",4256,10
"39017010101",6819,10
"39017010102",2749,10
"39017010103",5308,10
"39017010104",5265,10
"39017010201",1950,10
"39017010202",4194,10
"39017010203",5515,10
"39017010301",4449,10
"39017010302",3550,10
"39017010500",2377,10
"39017010600",3427,10
"39017010800",6568,10
"39017010901",4349,10
"39017010903",5328,10
"39017010904",3604,10
"39017010906",7155,10
"39017010907",2611,10
"39017010908",5300,10
"39017010909",4716,10
"39017010910",4780,10
"39017010911",4226,10
"39017011002",12210,10
"39017011003",6422,10
"39017011004",6001,10
"39017011109",4389,12
"39017011110",5250,12
"39017011111",6730,12
"39017011112",5537,12
"39017011116",8529,10
"39017011117",11039,10
"39017011118",3014,12
"39017011120",7393,12
"39017011121",7593,10
"39017011122",5068,12
"39017011123",5075,12
"39017011125",3623,12
"39017011126",4811,12
"39017011127",4600,12
"39017011128",3138,12
"39017011129",4246,12
"39017011130",5167,12
"39017011131",3122,12
"39017011200",7802,12
"39017011300",5044,10
"39017011800",5845,10
"39017012100",3245,10
"39017012200",3226,10
"39017012300",2028,9
"39017012400",2322,9
"39017012500",4812,9
"39017012600",2467,9
"39017012700",2983,9
"39017013000",1715,10
"39017013100",2105,10
"39017013200",3327,9
"39017013300",2134,9
"39017013400",2180,9
"39017013500",2876,10
"39017013600",5064,10
"39017013900",2832,10
"39017014000",2687,10
"39017014100",2276,10
"39017014300",4574,10
"39017014400",1882,10
"39017014600",1037,10
"39017014700",4202,10
"39017014800",6773,10
"39017014900",4941,10
"39017015000",7629,10
"39017015100",6818,10
"39019720100",3517,8
"39019720200",3626,8
"39019720300",5274,8
"39019720400",4318,8
"39019720500",5397,6
"39019720600",3451,6
"39019720700",3253,5
"39021010100",1809,16
"39021010200",7260,16
"39021010400",4150,16
"39021010500",4070,16
"39021010600",4130,16
"39021011001",2702,16
"39021011501",4473,16
"39021011504",5194,16
"39021011505",3313,16
"39021011506",2996,16
"39023000200",1559,16
"39023000300",1635,16
"39023000400",2229,16
"39023000500",1880,16
"39023000600",2768,16
"39023000700",2577,16
"39023000901",2475,16
"39023000902",1244,16
"39023001000",1501,16
"39023001101",1452,16
"39023001102",2841,16
"39023001200",4245,16
"39023001300",4124,16
"39023001400",3566,16
"39023001500",4353,16
"39023001600",3885,16
"39023001700",2665,16
"39023001900",2865,16
"39023002000",2205,16
"39023002100",1749,16
"39023002200",4358,16
"39023002301",3238,16
"39023002403",3998,16
"39023002404",3112,16
"39023002501",2078,16
"39023002502",3174,16
"39023002601",3818,16
"39023002602",4067,16
"39023002605",3858,16
"39023002606",7726,16
"39023002701",3173,16
"39023002702",2681,16
"39023002800",4649,16
"39023002901",3743,16
"39023002902",4477,16
"39023003001",3145,16
"39023003002",3574,16
"39023003101",2517,16
"39023003102",1878,16
"39023003200",2798,16
"39023003301",3577,16
"39023003302",2543,16
"39023003400",3700,16
"39023003700",4633,16
"39025040101",5176,11
"39025040102",2689,12
"39025040202",2177,12
"39025040203",6195,12
"39025040204",7181,12
"39025040301",3839,12
"39025040302",3459,12
"39025040303",7207,12
"39025040401",3595,12
"39025040403",2719,12
"39025040404",3758,12
"39025040405",2582,12
"39025040500",5109,11
"39025040600",6817,11
"39025040701",6313,12
"39025040702",4019,11
"39025040800",5890,11
"39025040900",5746,11
"39025041000",7507,11
"39025041101",2782,11
"39025041102",4656,11
"39025041103",8335,11
"39025041200",8350,11
"39025041303",5028,11
"39025041304",37,11
"39025041305",4466,11
"39025041306",4286,11
"39025041307",4840,11
"39025041403",4342,11
"39025041404",4742,11
"39025041405",5472,11
"39025041406",4857,11
"39025041501",6269,11
"39025041502",8080,11
"39025041600",5192,11
"39025041701",4522,11
"39025041702",3306,11
"39025041800",3692,11
"39025041900",5665,11
"39025042000",6466,11
"39027964300",3712,11
"39027964400",5087,12
"39027964500",6300,12
"39027964600",2976,12
"39027964700",5569,11
"39027964800",4942,12
"39027964900",4984,11
"39027965000",4156,11
"39027965100",4314,11
"39029950100",5712,6
"39029950200",4741,6
"39029950300",5100,6
"39029950400",4443,6
"39029950500",6097,8
"39029950600",4951,8
"39029950700",5488,8
"39029950800",4531,8
"39029950900",3999,8
"39029951000",5894,8
"39029951100",4845,6
"39029951200",4567,6
"39029951300",3991,6
"39029951400",7652,6
"39029951500",4654,6
"39029951600",5562,6
"39029951700",5108,6
"39029951800",3279,6
"39029951900",3665,6
"39029952000",2827,6
"39029952100",1521,6
"39029952200",2085,6
"39029952300",3039,6
"39029952400",4090,6
"39031960900",4652,7
"39031961000",4690,7
"39031961100",4373,5
"39031961200",3218,5
"39031961300",3944,5
"39031961400",3348,5
"39031961500",2499,5
"39031961600",2324,5
"39031961700",2863,5
"39031961800",4990,5
"39033974100",3666,1
"39033974200",4345,1
"39033974300",2765,1
"39033974400",3458,1
"39033974500",4102,1
"39033974600",2789,1
"39033974700",4026,1
"39033974800",2221,1
"39033974900",3397,1
"39033975000",3748,1
"39033975100",3052,1
"39033975200",2691,1
"39033975300",3524,1
"39035101101",1783,4
"39035101102",4221,4
"39035101200",2562,4
"39035101300",1629,2
"39035101400",2195,2
"39035101501",2194,4
"39035101603",2471,2
"39035101700",2752,4
"39035101800",2942,4
"39035101901",1692,4
"39035102101",3152,2
"39035102102",2512,2
"39035102200",2750,2
"39035102300",2283,4
"39035102401",2114,4
"39035102402",3250,4
"39035102700",4553,4
"39035102800",2048,4
"39035102900",1961,4
"39035103100",1054,4
"39035103300",2222,4
"39035103400",2770,4
"39035103500",1981,4
"39035103602",3254,4
"39035103800",1993,4
"39035103900",2042,4
"39035104100",1095,4
"39035104200",1143,4
"39035104300",1603,4
"39035104400",1498,4
"39035104600",1190,4
"39035104800",2124,4
"39035104900",2493,4
"39035105100",3790,4
"39035105300",3434,4
"39035105400",3646,4
"39035105500",1854,4
"39035105602",2163,4
"39035105700",4165,4
"39035105900",2968,4
"39035106100",3503,4
"39035106200",3663,4
"39035106300",2764,4
"39035106400",1115,4
"39035106500",2520,4
"39035106600",3222,4
"39035106800",2942,4
"39035106900",3501,4
"39035107000",1646,4
"39035107101",4193,4
"39035107701",1944,4
"39035107802",3334,4
"39035108201",1354,4
"39035108301",1647,4
"39035108400",1237,4
"39035108701",4393,4
